code	control_number	profession	description
111	6.0	Руководители (представители) федеральных и региональных органов законодательной, судебной и исполнительной власти, их аппаратов и иных органов 	" Руководители
(представители) федеральных и региональных органов законодательной,
судебной и исполнительной власти, их аппаратов и иных органов
определяют, формулируют, консультируют и непосредственно реализуют
политику федеральных и региональных или местных органов власти или
общин, а также общественных организаций. Они разрабатывают,
ратифицируют, изменяют или отменяют законы, общественные нормы и
правила, планируют, организуют, управляют, контролируют и оценивают
общую деятельность министерств и ведомств, традиционных общин и
общественных организаций.

Выполняемые обязанности работников данной малой группы обычно
включают: руководство или участие в работе законодательных органов и
административных советов правительств, законодательных собраний,
органов местного самоуправления и общественных организаций; службу в
государственных административных органах или официальных комитетах;
расследование вопросов, касающихся интересов общества в целом и
затрагивающих интересы избирателей; разработку и консультирование по
вопросам проведения государственной политики, исполнения бюджета,
законодательства и нормативного обеспечения, установление целей для
организации и разработки или утверждения и оценки программ, политики
и процедур по их реализации; рекомендации, анализ, оценку и
утверждение документов, информационных записок и представленных
докладов; обеспечение надлежащих систем и процедур, которые
разработаны и реализуются для обеспечения контроля за исполнением
бюджета; выделение для использования государственных земель и других
ресурсов; выполнение церемониальных обязанностей и представительство
от имени государства и правительства, организации или сообщества на
официальных мероприятиях и встречах, переговорах, собраниях и
общественных слушаниях.
Занятия данной малой группы подразделяются на следующие
начальные группы:
1111 Руководители (представители) федеральных и
региональных органов законодательной власти, их аппаратов, депутаты
законодательных собраний
1112 Руководители (представители) федеральных и
региональных органов исполнительной и судебной власти и их аппаратов
1113 Руководители органов местного
самоуправления
1114 Высшие должностные лица политических и
общественных организаций
"
1111	7.0	Руководители федеральных и региональных органов законодательной власти и их аппаратов, депутаты законодательных собраний 	" Руководители (представители) федеральных и региональных
органов законодательной власти, их аппаратов, депутаты
законодательных собраний определяют и формулируют государственную
политику, рассматривают и принимают в соответствии с установленными
процедурами законодательные акты, а также международные соглашения.
В их обязанности входит:
- участие в заседаниях федеральных
и региональных органов законодательной власти;
- рассмотрение проектов
законодательных актов в работе комитетов и комиссий палат, в работе
согласительных и специальных комиссий, а также рабочих групп;
- внесение парламентского запроса и депутатских
запросов, обращение с вопросами к руководству исполнительных органов
власти, контроль за исполнением ими законодательных актов;
- обращение к соответствующим должностным лицам с
требованием принять меры по немедленному пресечению обнаружившегося
нарушения прав граждан;
- изучение вопросов, представляющих
интерес для общественности, и защита интересов избирателей, которых
они представляют;
- исполнение представительских
функций, проведение встреч, направленных на оказание услуг
сообществу, изучение запросов различных групп населения, граждан;
- ведение переговоров с другими законодателями и
представителями заинтересованных групп для примирения различных
интересов, выработки политики и достижения общественного согласия.
Примеры занятий, отнесенных к данной начальной группе:
Депутат законодательного (представительного) органа
государственной власти
Председатель законодательного
(представительного) органа государственной власти
"
1112	3.0	Руководители (представители) федеральных и региональных органов исполнительной и судебной власти и их аппаратов 	" 
Руководители (представители) федеральных и региональных органов
исполнительной и судебной власти и их аппаратов консультируют членов
правительства по вопросам проводимой политики, осуществляют контроль
за реализацией государственной политики и соблюдением действующего
законодательства со стороны министерств и ведомств, представляют свою
страну за рубежом и действуют от ее имени или выполняют аналогичные
задачи в межправительственных организациях. Они планируют,
организуют, направляют, контролируют и оценивают общую деятельность
региональных или местных органов власти и управления, региональных
правительственных министерств, советов, агентств и комиссий в
соответствии с законодательством и политикой, установленной
правительством и законодательными органами.
В их обязанности входит:
- разработка и контроль исполнения государственного
бюджета, проведение единой финансовой, кредитной и денежной политики;
- разработка мер по проведению единой государственной
политики в области культуры, науки, образования, здравоохранения,
социального обеспечения, экологии;
- осуществление
мер по обеспечению обороны страны, государственной безопасности,
реализации внешней политики, законности, прав и свобод граждан,
охране собственности и общественного порядка, борьбе с преступностью;
- разработка стратегических целей для министерств и
ведомств в соответствии с законодательством и реализуемой политикой,
планирование, координация и контроль за их осуществлением;
- разработка, утверждение и оценка программ и процедур
по реализации государственной политики в целом или в соответствии с
предметом ведения;
- подготовка и
утверждение ведомственных нормативных правовых актов, анализ, оценка
и утверждение методических документов, информационных записок и
докладов о ходе исполнения государственных, ведомственных и иных
программ;
- обеспечение надлежащих систем и процедур, которые
разработаны и реализуются для обеспечения контроля за исполнением
бюджета;
- координация деятельности с другими высшими
правительственными служащими и должностными лицами;
- надзор за реализацией государственной политики и
соблюдением законодательства юридическими лицами и гражданами.
Примеры занятий, отнесенных к данной начальной группе:
Директор департамента
Министр
Руководитель (директор)
федерального агентства
Руководитель (директор) федеральной службы
"
1113	7.0	Руководители органов местного самоуправления 	" Руководители органов местного самоуправления выполняют
целый ряд административных и церемониальных задач и обязанностей для
обеспечения жизнедеятельности населения муниципального образования,
определяющихся с установленным разделением прав и обязанностей между
руководителями органов местного самоуправления, региональными и
федеральными органами власти, а также сложившимися традициями.
В их обязанности входит:
- управление муниципальной собственностью;
- формирование, утверждение и
обеспечение исполнения местного бюджета;
- установление местных налогов и сборов;
- осуществление охраны общественного порядка;
- представительство своего поселения в высших органах
государственной власти;
- информирование местного сообщества о государственных
нормах и правилах.
Примеры занятий, отнесенных к данной начальной группе:
Глава администрации муниципального образования
Руководитель органа местного самоуправления
"
1114	0.0	Высшие должностные лица политических и общественных организаций 	" Высшие должностные лица политических
и общественных организаций определяют, формулируют и непосредственно
реализуют политику общественных организаций, таких как партийные
политические организации, профсоюзы, организации работодателей,
торговые и промышленные ассоциации, гуманитарные или
благотворительные организации, спортивные ассоциации, представляют
свои организации и действуют от их имени.
В их обязанности входит:
- определение и формулирование политики, норм и правил
организации;
- осуществление планирования,
управления и координации общего функционирования организации;
- обзор деятельности и результатов
деятельности организации, предоставление отчетности в советы
директоров и руководящие органы, членские организации и финансовые
учреждения;
- проведение переговоров от имени организации, ее
членов и соответствующих групп с особыми интересами;
- соблюдение интересов организации, ее членов и
соответствующих групп с особыми интересами перед законодательной
властью, правительством или широкой общественностью;
- планирование, организация и
управление отдельными направлениями деятельности, связанными с
реализацией общей политики, выполнением программ, соблюдением правил
и положений;
- обеспечение надлежащих систем и
процедур, которые разработаны и реализуются для обеспечения контроля
за исполнением бюджета;
- мониторинг и оценка деятельности организации или
предприятия с учетом установленных целей и проводимой политики;
- представительство от имени организации на официальных
мероприятиях и заседаниях совета директоров, на переговорах, съездах,
общественных слушаниях и форумах.
Примеры занятий, отнесенных к данной начальной группе:
Председатель Общественной палаты
Председатель профсоюза
Руководитель объединения
работодателей
Руководитель творческого союза
"
112	9.0	Руководители учреждений, организаций и предприятий 	" Руководители учреждений,
организаций и предприятий разрабатывают и пересматривают стратегию
развития, планируют, управляют, координируют и оценивают общую
деятельность предприятий или организаций (за исключением общественных
организаций, министерств и ведомств) при поддержке других
руководителей, обычно в соответствии с принципами руководства,
установленными советом директоров или иным руководящим органом, перед
которыми они отвечают за проводимые операции и результаты
деятельности.

Выполняемые обязанности работников данной малой группы обычно
включают: планирование, руководство и координацию общего
функционирования предприятия или организации; анализ работы и
результатов деятельности предприятия или организации, а также
отчетности, представляемой в советы директоров и иные органы
управления; определение целей, стратегий, политики и программ для
предприятия или организации; обеспечение общего руководства и
управления организацией; разработку и управление бюджетами, контроль
расходов и обеспечение эффективного использования ресурсов;
санкционирование объемов материальных, человеческих и финансовых
ресурсов для реализации политики и выполнения программ; мониторинг и
оценку деятельности организации или предприятия по достижению
поставленных целей и реализации политики; консультации с высшим
руководством, пересмотр рекомендаций и подготовку докладов;
представительство от имени организации на официальных мероприятиях,
переговорах, съездах, семинарах, общественных слушаниях и форумах;
подбор или утверждение подбора старших должностных лиц и сотрудников;
обеспечение соблюдения организацией соответствующего законодательства
и нормативных положений.
Занятия данной малой группы входят в следующую
начальную группу:
1120 Руководители учреждений,
организаций и предприятий
"
1120	9.0	Руководители учреждений, организаций и предприятий 	" Руководители
учреждений, организаций и предприятий разрабатывают и пересматривают
стратегию развития, планируют, управляют, координируют и оценивают
общую деятельность предприятий или организаций (за исключением
общественных организаций, министерств и ведомств) при поддержке
других руководителей, обычно в соответствии с принципами руководства,
установленными советом директоров или иным руководящим органом, перед
которыми они отвечают за проводимые операции и результаты
деятельности.
В их обязанности входит:
- планирование, руководство и координация общего
функционирования предприятия или организации;
- анализ работы и результатов деятельности предприятия
или организации, а также отчетности, представляемой в советы
директоров и иные органы управления;
- определение целей, стратегий, политики и программ для
предприятия или организации;
- обеспечение общего руководства и управления
организацией;
- разработка и управление бюджетами,
контроль расходов и обеспечение эффективного использования ресурсов;
- санкционирование объемов материальных, человеческих и
финансовых ресурсов для реализации политики и выполнения программ;
- мониторинг и оценка деятельности организации или
предприятия по достижению поставленных целей и реализации политики;
- консультации с высшим руководством, пересмотр
рекомендаций и подготовка докладов;
- представительство от имени
организации на официальных мероприятиях, переговорах, съездах,
семинарах, общественных слушаниях и форумах;
- подбор или утверждение подбора
старших должностных лиц и сотрудников;
- обеспечение соблюдения организацией соответствующего
законодательства и нормативных положений.
Примеры занятий, отнесенных к данной начальной группе:
Исполнительный директор
Председатель совета директоров
Руководитель организации
Управляющий банком
Примечание -
Руководители учреждений, организаций и предприятий, которые
координируют и контролируют деятельность руководителей подчиненных
структурных подразделений и служб и которые имеют широкий спектр
функциональных обязанностей, учитываются в начальной группе 1120
Руководители учреждений, организаций и предприятий. Руководители
(менеджеры), отвечающие за специфические функции в пределах
определенной географической области, исключены из этой начальной
группы. Например, региональные менеджеры по продажам учитываются в
начальной группе 1221 Руководители служб по сбыту и маркетингу.
Работники, чья основная обязанность состоит в работе в качестве
членов совета директоров одного или нескольких предприятий или
организаций, учитываются в начальной группе 1120 Руководители
учреждений, организаций и предприятий.
"
121	8.0	Управляющие финансово-экономической и административной деятельностью 	" Управляющие
финансово-экономической и административной деятельностью организуют,
направляют, контролируют и координируют финансовые, административные,
человеческие ресурсы, разрабатывают программы и планы деятельности
предприятия или организации или предоставляют аналогичные услуги
другим предприятиям и организациям.
Выполняемые
обязанности работников данной малой группы обычно включают:
разработку и консультирование по вопросам управления, стратегического
и финансового планирования; разработку и руководство осуществлением
оперативных и административных процедур; реализацию, мониторинг и
оценку стратегий и политики; консультирование руководителей старшего
звена и членов совета директоров по финансовым,
административно-стратегическим вопросам, реализации политики,
выполнения программ и законодательных инициатив; обеспечение
соблюдения соответствующих законов, правил и стандартов; контроль
подбора, подготовки и использования персонала; разработку бюджетов и
контроль за финансовыми операциями; консультации с исполнительным
директором и руководителями других отделов или секций; контроль
расходов и обеспечение эффективного использования ресурсов;
представительство организации на переговорах, съездах, семинарах,
общественных слушаниях и форумах.
Занятия данной малой группы
подразделяются на следующие начальные группы:
1211 Управляющие финансовой деятельностью
1212 Управляющие трудовыми ресурсами
1213 Руководители в области
определения политики и планирования деятельности
1219 Управляющие финансово-экономической и
административной деятельностью, не входящие в другие группы
"
1211	1.0	Управляющие финансовой деятельностью 	" Управляющие финансовой
деятельностью направляют и координируют финансовую деятельность
предприятия или организации в сотрудничестве с руководителями этих
предприятий или организаций и руководителями других отделов или
подразделений, а также организаций, предоставляющих финансовые услуги
другим предприятиям и организациям.
В их обязанности входит:
- осуществление планирования,
управления и координации финансовой деятельности предприятия или
организации;
- оценка финансового положения предприятия или
организации, подготовка бюджетов и контроль за финансовыми
операциями;
- проведение консультаций с исполнительным директором и
с руководителями других отделов или подразделений;
- разработка и управление бюджетами, контроль расходов
и обеспечение эффективного использования ресурсов;
- разработка и руководство управленческими и
административными процедурами;
- планирование и руководство
повседневной деятельностью;
- контроль подбора, подготовки и
использования персонала;
- представительство от имени предприятия или
организации в отношениях с внешними органами и учреждениями.
Примеры занятий, отнесенных к данной начальной группе:
Главный бухгалтер
Финансовый директор
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Финансовый управляющий филиала учреждения - 1346
Бухгалтер - 2411
Финансовый инспектор - 2411
"
1212	5.0	Управляющие трудовыми ресурсами 	" Управляющие трудовыми ресурсами
планируют, направляют и координируют политику в отношении персонала,
трудовых отношений, охраны труда и безопасности деятельности
предприятий и организаций или тех организаций, основной деятельностью
которых являются услуги по обеспечению трудовыми ресурсами других
предприятий и организаций.
В их обязанности входит:
- планирование, руководство и координация деятельности
персонала, производственных отношений, политики и практики работы
предприятия или организации;
- планирование и организация
процедуры приема на работу, обучения, продвижения по службе, перевода
и увольнения сотрудников;
- планирование и организация
переговоров и порядка определения структуры и уровня заработной
платы, а также консультаций с работниками относительно условий труда
и занятости;
- контроль безопасности, охраны здоровья и
соответствующих программ и мероприятий;
- разработка и управление бюджетами, контроль расходов
и обеспечение эффективного использования ресурсов;
- разработка и руководство оперативными и
административными процедурами;
- наблюдение за разработкой и внедрением информационных
систем управления;
- обеспечение
соблюдения стандартов и законодательства, касающихся прав работников,
здоровья и безопасности, обеспечивающих равные возможности, а также
других связанных с ними проблем;
- контроль подбора, подготовки и служебной деятельности
сотрудников всего предприятия или организации;
- проведение консультаций с высшим руководством и
руководителями других структурных подразделений;
- представительство от имени предприятия или
организации в отношениях с внешними организациями и учреждениями.
Примеры занятий, отнесенных к данной начальной группе:
Директор по персоналу
Руководитель по производственным отношениям
Управляющий по кадрам
"
